,run_id,N,p,k,num_edges,edge_list,num_solutions_m,compiler_success,error_message,compilation_time,time_xag_optimize,time_xag_synthesis,time_parity_decomp,time_linear_resynth,oracle_num_qubits,oracle_depth,oracle_size,oracle_cx_count,oracle_1q_count
27,28,3,0.4,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,1.0369439125061035,0.0004394054412841797,1.7404556274414062e-05,5.0067901611328125e-06,7.3909759521484375e-06,4,5,7,2,5
28,29,3,0.4,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.8095126152038574,0.00044727325439453125,1.8835067749023438e-05,5.0067901611328125e-06,8.344650268554688e-06,4,8,10,5,5
29,30,3,0.4,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.0549836158752441,0.00038433074951171875,1.4066696166992188e-05,3.0994415283203125e-06,1.9073486328125e-06,4,4,4,0,4
30,31,3,0.5,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.876373291015625,0.0004189014434814453,1.7881393432617188e-05,5.0067901611328125e-06,8.106231689453125e-06,4,8,10,5,5
31,32,3,0.5,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,0.673429012298584,0.00048041343688964844,1.8835067749023438e-05,5.4836273193359375e-06,9.298324584960938e-06,4,8,10,5,5
32,33,3,0.5,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",0,True,None,1.88983154296875,0.0004100799560546875,1.6689300537109375e-05,3.337860107421875e-06,2.384185791015625e-06,4,4,4,0,4
33,34,3,0.5,2,1,"[0, 0, 1, 0, 0, 0, 1, 0, 0]",1,True,None,1.1305649280548096,0.0004181861877441406,1.7642974853515625e-05,5.0067901611328125e-06,3.337860107421875e-06,5,11,17,4,13
34,35,3,0.5,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.031435251235962,0.00043702125549316406,1.811981201171875e-05,4.76837158203125e-06,9.298324584960938e-06,4,8,10,5,5
35,36,3,0.5,2,1,"[0, 0, 0, 0, 0, 1, 0, 1, 0]",1,True,None,0.7684435844421387,0.00042724609375,1.9550323486328125e-05,5.0067901611328125e-06,3.337860107421875e-06,5,12,19,4,15
36,37,3,0.5,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,0.9556629657745361,0.0004315376281738281,1.9311904907226562e-05,5.0067901611328125e-06,7.3909759521484375e-06,4,5,7,2,5
37,38,3,0.5,2,3,"[0, 1, 1, 1, 0, 1, 1, 1, 0]",4,True,None,1.1957616806030273,0.00044655799865722656,1.7881393432617188e-05,5.0067901611328125e-06,8.106231689453125e-06,4,8,10,5,5
38,39,3,0.5,2,2,"[0, 1, 0, 1, 0, 1, 0, 1, 0]",2,True,None,0.7394473552703857,0.0004363059997558594,1.6927719116210938e-05,4.76837158203125e-06,7.867813110351562e-06,4,5,7,2,5
39,40,3,0.5,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,1.0610342025756836,0.0004258155822753906,1.8596649169921875e-05,4.76837158203125e-06,2.86102294921875e-06,5,11,17,4,13
40,41,3,0.6,2,1,"[0, 1, 0, 1, 0, 0, 0, 0, 0]",1,True,None,0.6645729541778564,0.00042128562927246094,1.8835067749023438e-05,5.0067901611328125e-06,3.0994415283203125e-06,5,11,17,4,13
41,42,3,0.6,2,2,"[0, 1, 1, 1, 0, 0, 1, 0, 0]",2,True,None,1.0406742095947266,0.0003960132598876953,1.7881393432617188e-05,4.76837158203125e-06,6.9141387939453125e-06,4,5,7,2,5
